event_id,name,date,location,type
1,Event 1,2023-01-01 00:00:00,Stadium,festival
2,Event 2,2023-01-01 01:00:00,Stadium,sports
3,Event 3,2023-01-01 02:00:00,Park,festival
4,Event 4,2023-01-01 03:00:00,Park,concert
5,Event 5,2023-01-01 04:00:00,Stadium,sports
6,Event 6,2023-01-01 05:00:00,Theater,sports
7,Event 7,2023-01-01 06:00:00,Stadium,festival
8,Event 8,2023-01-01 07:00:00,Park,sports
9,Event 9,2023-01-01 08:00:00,Park,sports
10,Event 10,2023-01-01 09:00:00,Park,festival
11,Event 11,2023-01-01 10:00:00,Park,sports
12,Event 12,2023-01-01 11:00:00,Stadium,concert
13,Event 13,2023-01-01 12:00:00,Stadium,festival
14,Event 14,2023-01-01 13:00:00,Stadium,concert
15,Event 15,2023-01-01 14:00:00,Park,concert
16,Event 16,2023-01-01 15:00:00,Stadium,sports
17,Event 17,2023-01-01 16:00:00,Park,concert
18,Event 18,2023-01-01 17:00:00,Theater,festival
19,Event 19,2023-01-01 18:00:00,Theater,sports
20,Event 20,2023-01-01 19:00:00,Theater,concert
21,Event 21,2023-01-01 20:00:00,Stadium,sports
22,Event 22,2023-01-01 21:00:00,Stadium,concert
23,Event 23,2023-01-01 22:00:00,Park,festival
24,Event 24,2023-01-01 23:00:00,Park,concert
25,Event 25,2023-01-02 00:00:00,Theater,concert
26,Event 26,2023-01-02 01:00:00,Stadium,sports
27,Event 27,2023-01-02 02:00:00,Stadium,concert
28,Event 28,2023-01-02 03:00:00,Theater,festival
29,Event 29,2023-01-02 04:00:00,Stadium,sports
30,Event 30,2023-01-02 05:00:00,Theater,festival
31,Event 31,2023-01-02 06:00:00,Park,festival
32,Event 32,2023-01-02 07:00:00,Stadium,concert
33,Event 33,2023-01-02 08:00:00,Park,concert
34,Event 34,2023-01-02 09:00:00,Park,sports
35,Event 35,2023-01-02 10:00:00,Park,sports
36,Event 36,2023-01-02 11:00:00,Park,sports
37,Event 37,2023-01-02 12:00:00,Theater,festival
38,Event 38,2023-01-02 13:00:00,Stadium,concert
39,Event 39,2023-01-02 14:00:00,Park,sports
40,Event 40,2023-01-02 15:00:00,Park,festival
41,Event 41,2023-01-02 16:00:00,Park,sports
42,Event 42,2023-01-02 17:00:00,Park,sports
43,Event 43,2023-01-02 18:00:00,Stadium,concert
44,Event 44,2023-01-02 19:00:00,Stadium,concert
45,Event 45,2023-01-02 20:00:00,Stadium,sports
46,Event 46,2023-01-02 21:00:00,Theater,sports
47,Event 47,2023-01-02 22:00:00,Stadium,sports
48,Event 48,2023-01-02 23:00:00,Theater,concert
49,Event 49,2023-01-03 00:00:00,Park,concert
50,Event 50,2023-01-03 01:00:00,Park,concert
51,Event 51,2023-01-03 02:00:00,Stadium,concert
52,Event 52,2023-01-03 03:00:00,Stadium,sports
53,Event 53,2023-01-03 04:00:00,Park,festival
54,Event 54,2023-01-03 05:00:00,Theater,concert
55,Event 55,2023-01-03 06:00:00,Theater,festival
56,Event 56,2023-01-03 07:00:00,Park,sports
57,Event 57,2023-01-03 08:00:00,Park,sports
58,Event 58,2023-01-03 09:00:00,Stadium,concert
59,Event 59,2023-01-03 10:00:00,Park,concert
60,Event 60,2023-01-03 11:00:00,Park,sports
61,Event 61,2023-01-03 12:00:00,Park,concert
62,Event 62,2023-01-03 13:00:00,Theater,festival
63,Event 63,2023-01-03 14:00:00,Theater,sports
64,Event 64,2023-01-03 15:00:00,Theater,sports
65,Event 65,2023-01-03 16:00:00,Stadium,festival
66,Event 66,2023-01-03 17:00:00,Park,festival
67,Event 67,2023-01-03 18:00:00,Theater,sports
68,Event 68,2023-01-03 19:00:00,Stadium,festival
69,Event 69,2023-01-03 20:00:00,Stadium,concert
70,Event 70,2023-01-03 21:00:00,Stadium,concert
71,Event 71,2023-01-03 22:00:00,Theater,concert
72,Event 72,2023-01-03 23:00:00,Stadium,concert
73,Event 73,2023-01-04 00:00:00,Stadium,sports
74,Event 74,2023-01-04 01:00:00,Theater,sports
75,Event 75,2023-01-04 02:00:00,Theater,festival
76,Event 76,2023-01-04 03:00:00,Park,concert
77,Event 77,2023-01-04 04:00:00,Park,concert
78,Event 78,2023-01-04 05:00:00,Park,concert
79,Event 79,2023-01-04 06:00:00,Theater,sports
80,Event 80,2023-01-04 07:00:00,Stadium,concert
81,Event 81,2023-01-04 08:00:00,Theater,festival
82,Event 82,2023-01-04 09:00:00,Theater,festival
83,Event 83,2023-01-04 10:00:00,Park,festival
84,Event 84,2023-01-04 11:00:00,Park,festival
85,Event 85,2023-01-04 12:00:00,Stadium,sports
86,Event 86,2023-01-04 13:00:00,Stadium,sports
87,Event 87,2023-01-04 14:00:00,Stadium,sports
88,Event 88,2023-01-04 15:00:00,Theater,concert
89,Event 89,2023-01-04 16:00:00,Park,festival
90,Event 90,2023-01-04 17:00:00,Theater,concert
91,Event 91,2023-01-04 18:00:00,Park,festival
92,Event 92,2023-01-04 19:00:00,Park,sports
93,Event 93,2023-01-04 20:00:00,Stadium,concert
94,Event 94,2023-01-04 21:00:00,Park,concert
95,Event 95,2023-01-04 22:00:00,Theater,concert
96,Event 96,2023-01-04 23:00:00,Park,festival
97,Event 97,2023-01-05 00:00:00,Stadium,festival
98,Event 98,2023-01-05 01:00:00,Park,concert
99,Event 99,2023-01-05 02:00:00,Stadium,festival
100,Event 100,2023-01-05 03:00:00,Stadium,sports
101,Event 101,2023-01-05 04:00:00,Stadium,festival
102,Event 102,2023-01-05 05:00:00,Park,concert
103,Event 103,2023-01-05 06:00:00,Stadium,concert
104,Event 104,2023-01-05 07:00:00,Park,sports
105,Event 105,2023-01-05 08:00:00,Theater,sports
106,Event 106,2023-01-05 09:00:00,Theater,sports
107,Event 107,2023-01-05 10:00:00,Theater,sports
108,Event 108,2023-01-05 11:00:00,Theater,sports
109,Event 109,2023-01-05 12:00:00,Theater,festival
110,Event 110,2023-01-05 13:00:00,Stadium,festival
111,Event 111,2023-01-05 14:00:00,Theater,concert
112,Event 112,2023-01-05 15:00:00,Stadium,festival
113,Event 113,2023-01-05 16:00:00,Stadium,sports
114,Event 114,2023-01-05 17:00:00,Theater,sports
115,Event 115,2023-01-05 18:00:00,Theater,festival
116,Event 116,2023-01-05 19:00:00,Theater,sports
117,Event 117,2023-01-05 20:00:00,Theater,festival
118,Event 118,2023-01-05 21:00:00,Theater,sports
119,Event 119,2023-01-05 22:00:00,Stadium,concert
120,Event 120,2023-01-05 23:00:00,Stadium,sports
121,Event 121,2023-01-06 00:00:00,Park,festival
122,Event 122,2023-01-06 01:00:00,Stadium,concert
123,Event 123,2023-01-06 02:00:00,Stadium,sports
124,Event 124,2023-01-06 03:00:00,Theater,festival
125,Event 125,2023-01-06 04:00:00,Stadium,concert
126,Event 126,2023-01-06 05:00:00,Stadium,concert
127,Event 127,2023-01-06 06:00:00,Stadium,concert
128,Event 128,2023-01-06 07:00:00,Theater,festival
129,Event 129,2023-01-06 08:00:00,Theater,concert
130,Event 130,2023-01-06 09:00:00,Theater,sports
131,Event 131,2023-01-06 10:00:00,Park,festival
132,Event 132,2023-01-06 11:00:00,Stadium,concert
133,Event 133,2023-01-06 12:00:00,Theater,sports
134,Event 134,2023-01-06 13:00:00,Theater,festival
135,Event 135,2023-01-06 14:00:00,Stadium,concert
136,Event 136,2023-01-06 15:00:00,Stadium,sports
137,Event 137,2023-01-06 16:00:00,Park,sports
138,Event 138,2023-01-06 17:00:00,Park,festival
139,Event 139,2023-01-06 18:00:00,Theater,sports
140,Event 140,2023-01-06 19:00:00,Stadium,festival
141,Event 141,2023-01-06 20:00:00,Park,festival
142,Event 142,2023-01-06 21:00:00,Stadium,festival
143,Event 143,2023-01-06 22:00:00,Stadium,festival
144,Event 144,2023-01-06 23:00:00,Theater,concert
145,Event 145,2023-01-07 00:00:00,Stadium,sports
146,Event 146,2023-01-07 01:00:00,Theater,festival
147,Event 147,2023-01-07 02:00:00,Park,festival
148,Event 148,2023-01-07 03:00:00,Theater,festival
149,Event 149,2023-01-07 04:00:00,Stadium,concert
150,Event 150,2023-01-07 05:00:00,Theater,festival
151,Event 151,2023-01-07 06:00:00,Theater,festival
152,Event 152,2023-01-07 07:00:00,Park,sports
153,Event 153,2023-01-07 08:00:00,Park,sports
154,Event 154,2023-01-07 09:00:00,Theater,sports
155,Event 155,2023-01-07 10:00:00,Stadium,concert
156,Event 156,2023-01-07 11:00:00,Park,concert
157,Event 157,2023-01-07 12:00:00,Theater,festival
158,Event 158,2023-01-07 13:00:00,Stadium,concert
159,Event 159,2023-01-07 14:00:00,Theater,concert
160,Event 160,2023-01-07 15:00:00,Stadium,festival
161,Event 161,2023-01-07 16:00:00,Park,concert
162,Event 162,2023-01-07 17:00:00,Theater,sports
163,Event 163,2023-01-07 18:00:00,Theater,sports
164,Event 164,2023-01-07 19:00:00,Stadium,festival
165,Event 165,2023-01-07 20:00:00,Theater,festival
166,Event 166,2023-01-07 21:00:00,Park,sports
167,Event 167,2023-01-07 22:00:00,Stadium,concert
168,Event 168,2023-01-07 23:00:00,Theater,sports
169,Event 169,2023-01-08 00:00:00,Theater,festival
170,Event 170,2023-01-08 01:00:00,Stadium,sports
171,Event 171,2023-01-08 02:00:00,Stadium,concert
172,Event 172,2023-01-08 03:00:00,Park,concert
173,Event 173,2023-01-08 04:00:00,Stadium,sports
174,Event 174,2023-01-08 05:00:00,Theater,sports
175,Event 175,2023-01-08 06:00:00,Theater,concert
176,Event 176,2023-01-08 07:00:00,Stadium,sports
177,Event 177,2023-01-08 08:00:00,Stadium,festival
178,Event 178,2023-01-08 09:00:00,Stadium,sports
179,Event 179,2023-01-08 10:00:00,Park,festival
180,Event 180,2023-01-08 11:00:00,Park,concert
181,Event 181,2023-01-08 12:00:00,Park,sports
182,Event 182,2023-01-08 13:00:00,Stadium,festival
183,Event 183,2023-01-08 14:00:00,Theater,sports
184,Event 184,2023-01-08 15:00:00,Stadium,concert
185,Event 185,2023-01-08 16:00:00,Park,concert
186,Event 186,2023-01-08 17:00:00,Theater,sports
187,Event 187,2023-01-08 18:00:00,Theater,sports
188,Event 188,2023-01-08 19:00:00,Park,festival
189,Event 189,2023-01-08 20:00:00,Theater,sports
190,Event 190,2023-01-08 21:00:00,Park,sports
191,Event 191,2023-01-08 22:00:00,Stadium,concert
192,Event 192,2023-01-08 23:00:00,Stadium,festival
193,Event 193,2023-01-09 00:00:00,Theater,festival
194,Event 194,2023-01-09 01:00:00,Stadium,sports
195,Event 195,2023-01-09 02:00:00,Park,festival
196,Event 196,2023-01-09 03:00:00,Theater,concert
197,Event 197,2023-01-09 04:00:00,Theater,sports
198,Event 198,2023-01-09 05:00:00,Stadium,festival
199,Event 199,2023-01-09 06:00:00,Stadium,concert
200,Event 200,2023-01-09 07:00:00,Stadium,concert
201,Event 201,2023-01-09 08:00:00,Theater,concert
202,Event 202,2023-01-09 09:00:00,Stadium,festival
203,Event 203,2023-01-09 10:00:00,Theater,sports
204,Event 204,2023-01-09 11:00:00,Stadium,sports
205,Event 205,2023-01-09 12:00:00,Theater,sports
206,Event 206,2023-01-09 13:00:00,Theater,festival
207,Event 207,2023-01-09 14:00:00,Stadium,concert
208,Event 208,2023-01-09 15:00:00,Park,concert
209,Event 209,2023-01-09 16:00:00,Stadium,sports
210,Event 210,2023-01-09 17:00:00,Stadium,festival
211,Event 211,2023-01-09 18:00:00,Park,sports
212,Event 212,2023-01-09 19:00:00,Stadium,festival
213,Event 213,2023-01-09 20:00:00,Stadium,festival
214,Event 214,2023-01-09 21:00:00,Stadium,concert
215,Event 215,2023-01-09 22:00:00,Stadium,concert
216,Event 216,2023-01-09 23:00:00,Park,concert
217,Event 217,2023-01-10 00:00:00,Stadium,concert
218,Event 218,2023-01-10 01:00:00,Stadium,concert
219,Event 219,2023-01-10 02:00:00,Theater,sports
220,Event 220,2023-01-10 03:00:00,Park,sports
221,Event 221,2023-01-10 04:00:00,Theater,festival
222,Event 222,2023-01-10 05:00:00,Theater,sports
223,Event 223,2023-01-10 06:00:00,Stadium,festival
224,Event 224,2023-01-10 07:00:00,Stadium,festival
225,Event 225,2023-01-10 08:00:00,Park,concert
226,Event 226,2023-01-10 09:00:00,Park,concert
227,Event 227,2023-01-10 10:00:00,Park,concert
228,Event 228,2023-01-10 11:00:00,Stadium,festival
229,Event 229,2023-01-10 12:00:00,Park,festival
230,Event 230,2023-01-10 13:00:00,Park,sports
231,Event 231,2023-01-10 14:00:00,Theater,sports
232,Event 232,2023-01-10 15:00:00,Stadium,concert
233,Event 233,2023-01-10 16:00:00,Park,concert
234,Event 234,2023-01-10 17:00:00,Theater,festival
235,Event 235,2023-01-10 18:00:00,Stadium,festival
236,Event 236,2023-01-10 19:00:00,Park,sports
237,Event 237,2023-01-10 20:00:00,Park,concert
238,Event 238,2023-01-10 21:00:00,Theater,festival
239,Event 239,2023-01-10 22:00:00,Theater,festival
240,Event 240,2023-01-10 23:00:00,Theater,concert
241,Event 241,2023-01-11 00:00:00,Stadium,sports
242,Event 242,2023-01-11 01:00:00,Park,concert
243,Event 243,2023-01-11 02:00:00,Park,festival
244,Event 244,2023-01-11 03:00:00,Stadium,festival
245,Event 245,2023-01-11 04:00:00,Park,festival
246,Event 246,2023-01-11 05:00:00,Theater,concert
247,Event 247,2023-01-11 06:00:00,Stadium,concert
248,Event 248,2023-01-11 07:00:00,Theater,concert
249,Event 249,2023-01-11 08:00:00,Theater,concert
250,Event 250,2023-01-11 09:00:00,Park,concert
251,Event 251,2023-01-11 10:00:00,Theater,concert
252,Event 252,2023-01-11 11:00:00,Park,sports
253,Event 253,2023-01-11 12:00:00,Stadium,festival
254,Event 254,2023-01-11 13:00:00,Theater,festival
255,Event 255,2023-01-11 14:00:00,Stadium,concert
256,Event 256,2023-01-11 15:00:00,Theater,sports
257,Event 257,2023-01-11 16:00:00,Park,festival
258,Event 258,2023-01-11 17:00:00,Theater,sports
259,Event 259,2023-01-11 18:00:00,Theater,sports
260,Event 260,2023-01-11 19:00:00,Park,concert
261,Event 261,2023-01-11 20:00:00,Park,festival
262,Event 262,2023-01-11 21:00:00,Park,concert
263,Event 263,2023-01-11 22:00:00,Park,festival
264,Event 264,2023-01-11 23:00:00,Theater,festival
265,Event 265,2023-01-12 00:00:00,Park,concert
266,Event 266,2023-01-12 01:00:00,Stadium,concert
267,Event 267,2023-01-12 02:00:00,Park,sports
268,Event 268,2023-01-12 03:00:00,Theater,sports
269,Event 269,2023-01-12 04:00:00,Park,concert
270,Event 270,2023-01-12 05:00:00,Stadium,festival
271,Event 271,2023-01-12 06:00:00,Theater,festival
272,Event 272,2023-01-12 07:00:00,Stadium,festival
273,Event 273,2023-01-12 08:00:00,Stadium,concert
274,Event 274,2023-01-12 09:00:00,Park,concert
275,Event 275,2023-01-12 10:00:00,Theater,concert
276,Event 276,2023-01-12 11:00:00,Theater,concert
277,Event 277,2023-01-12 12:00:00,Stadium,concert
278,Event 278,2023-01-12 13:00:00,Stadium,sports
279,Event 279,2023-01-12 14:00:00,Park,festival
280,Event 280,2023-01-12 15:00:00,Stadium,sports
281,Event 281,2023-01-12 16:00:00,Theater,festival
282,Event 282,2023-01-12 17:00:00,Stadium,concert
283,Event 283,2023-01-12 18:00:00,Theater,festival
284,Event 284,2023-01-12 19:00:00,Stadium,concert
285,Event 285,2023-01-12 20:00:00,Park,festival
286,Event 286,2023-01-12 21:00:00,Park,concert
287,Event 287,2023-01-12 22:00:00,Stadium,concert
288,Event 288,2023-01-12 23:00:00,Park,festival
289,Event 289,2023-01-13 00:00:00,Park,sports
290,Event 290,2023-01-13 01:00:00,Stadium,concert
291,Event 291,2023-01-13 02:00:00,Theater,sports
292,Event 292,2023-01-13 03:00:00,Park,sports
293,Event 293,2023-01-13 04:00:00,Theater,festival
294,Event 294,2023-01-13 05:00:00,Theater,festival
295,Event 295,2023-01-13 06:00:00,Park,sports
296,Event 296,2023-01-13 07:00:00,Park,sports
297,Event 297,2023-01-13 08:00:00,Theater,sports
298,Event 298,2023-01-13 09:00:00,Stadium,concert
299,Event 299,2023-01-13 10:00:00,Park,concert
300,Event 300,2023-01-13 11:00:00,Park,festival
301,Event 301,2023-01-13 12:00:00,Stadium,festival
302,Event 302,2023-01-13 13:00:00,Stadium,concert
303,Event 303,2023-01-13 14:00:00,Stadium,concert
304,Event 304,2023-01-13 15:00:00,Stadium,concert
305,Event 305,2023-01-13 16:00:00,Stadium,festival
306,Event 306,2023-01-13 17:00:00,Park,concert
307,Event 307,2023-01-13 18:00:00,Stadium,concert
